178-2-000052,우산동주민센터,공영,노외,광주광역시 북구 동문대로 59-4(우산동),광주광역시 북구 우산동 264-2,14,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,직영,광주광역시 북구청,062-410-8106,35.17030369,126.9209384,2021-06-28,3620000,광주광역시 북구
178-2-000053,풍향동주민센터,공영,노외,광주광역시 북구 필문대로29번길 10(풍향동),광주광역시 북구 풍향동 597-11,8,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,직영,광주광역시 북구청,062-410-8106,35.16447448,126.9232702,2021-06-28,3620000,광주광역시 북구
178-2-000054,문화동주민센터,공영,노외,광주광역시 북구 군왕로 233(각화동),광주광역시 북구 각화동 224-12,7,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,직영,광주광역시 북구청,062-410-8106,35.18149708,126.9368598,2021-06-28,3620000,광주광역시 북구
178-2-000055,문흥1동주민센터,공영,노외,광주광역시 북구 대천로 140-3(문흥동),광주광역시 북구 문흥동 996-6,8,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,직영,광주광역시 북구청,062-410-8106,35.18676652,126.9216296,2021-06-28,3620000,광주광역시 북구
178-2-000056,문흥2동주민센터,공영,노외,광주광역시 북구 문산로 25(문흥동),광주광역시 북구 문흥동 1010-9,14,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,직영,광주광역시 북구청,062-410-8106,35.18432223,126.9219174,2021-06-28,3620000,광주광역시 북구
178-2-000057,두암1동주민센터,공영,노외,광주광역시 북구 동문대로110번길 77(두암동),광주광역시 북구 두암동 877-10,20,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,직영,광주광역시 북구청,062-410-8106,35.17103696,126.9289643,2021-06-28,3620000,광주광역시 북구
178-2-000058,두암2동주민센터,공영,노외,광주광역시 북구 면앙로192번길 15(두암동),광주광역시 북구 두암동 825-9,20,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,직영,광주광역시 북구청,062-410-8106,35.17460117,126.9325311,2021-06-28,3620000,광주광역시 북구
178-2-000059,두암3동주민센터,공영,노외,광주광역시 북구 삼정로3번길 5(두암동),광주광역시 북구 두암동 249,17,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,직영,광주광역시 북구청,062-410-8106,35.16301813,126.9347535,2021-06-28,3620000,광주광역시 북구
178-2-000060,삼각동주민센터,공영,노외,광주광역시 북구 설죽로 447(삼각동),광주광역시 북구 삼각동 791-4,23,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,직영,광주광역시 북구청,062-410-8106,35.19926457,126.8994886,2021-06-28,3620000,광주광역시 북구
178-2-000061,일곡동주민센터,공영,노외,광주광역시 북구 설죽로 525(일곡동),광주광역시 북구 일곡동 849-4,11,기타,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,직영,광주광역시 북구청,062-410-8106,35.20603007,126.8972795,2021-06-28,3620000,광주광역시 북구
